year,jewTotal,jewKid,jewAdult,jewOld,arabTotal,arabKid,arabAdult,arabOld,ultraOrthodoxTotal,ultraOrthodoxKid,ultraOrthodoxAdult,ultraOrthodoxOld
2009,5266500,1523700,3076700,666100,1535600,739500,736500,59600,750000,441600,292600,15800
2010,5325120,1546900,3087340,690860,1571140,747180,761640,62320,782100,458340,306320,17440
2011,5383740,1565460,3095852,710668,1599572,753324,781752,64496,807780,471732,317296,18752
2012,5442360,1580308,3102662,726514,1622318,758239,797842,66237,828324,482446,326077,19802
2013,5500980,1592186,3108109,739192,1640514,762171,810713,67629,844759,491016,333101,20641
2014,5559600,1639700,3129900,789900,1713300,777900,862200,73200,910500,525300,361200,24000
2015,5615720,1660380,3136100,819160,1751020,783520,889800,77680,948580,545640,376800,26140
2016,5671840,1676924,3141060,842568,1788740,788016,911880,81264,986660,561912,389280,27852
2017,5727960,1690159,3145028,861294,1826460,791613,929544,84131,1024740,574930,399264,29222
2018,5784080,1700747,3148202,876276,1864180,794490,943675,86425,1062820,585344,407251,30317
2019,5840200,1743100,3160900,936200,1901900,806000,1000200,95600,1100900,627000,439200,34700
2020,5891120,1757080,3173140,960880,1942340,811360,1029140,101760,1145920,648040,460080,37800
2021,5942040,1768264,3182932,980624,1982780,815648,1052292,106688,1190940,664872,476784,40280
2022,5992960,1777211,3190766,996419,2023220,819078,1070814,110630,1235960,678338,490147,42264
2023,6043880,1784369,3197032,1009055,2063660,821823,1085631,113784,1280980,689110,500838,43851
2024,6094800,1813000,3222100,1059600,2104100,832800,1144900,126400,1326000,732200,543600,50200
2025,6142320,1813740,3247920,1080580,2146460,843440,1167700,135320,1378740,759300,565900,53540
2026,6189840,1814332,3268576,1097364,2188820,851952,1185940,142456,1431480,780980,583740,56212
2027,6237360,1814806,3285101,1110791,2231180,858762,1200532,148165,1484220,798324,598012,58350
2028,6284880,1815184,3298321,1121533,2273540,864209,1212206,152732,1536960,812199,609430,60060
2029,6332400,1816700,3351200,1164500,2315900,886000,1258900,171000,1589700,867700,655100,66900
2030,6377860,1813140,3381460,1183260,2358740,896580,1280700,181480,1650020,897220,683040,69760
2031,6423320,1810292,3405668,1198268,2401580,905044,1298140,189864,1710340,920836,705392,72048
2032,6468780,1808014,3425034,1210274,2444420,911815,1312092,196571,1770660,939729,723274,73878
2033,6514240,1806191,3440528,1219880,2487260,917232,1323254,201937,1830980,954843,737579,75343
2034,6559700,1798900,3502500,1258300,2530100,938900,1367900,223400,1891300,1015300,794800,81200
2035,6608080,1803760,3520320,1284000,2572660,947760,1389720,235280,1960220,1047820,827480,84920
2036,6656460,1807648,3534576,1304560,2615220,954848,1407176,244784,2029140,1073836,853624,87896
2037,6704840,1810758,3545981,1321008,2657780,960518,1421141,252387,2098060,1094649,874539,90277
2038,6753220,1813247,3555105,1334166,2700340,965055,1432313,258470,2166980,1111299,891271,92181
2039,6801600,1823200,3591600,1386800,2742900,983200,1477000,282800,2235900,1177900,958200,99800
