year,jewTotal,jewKid,jewAdult,jewOld,arabTotal,arabKid,arabAdult,arabOld,ultraOrthodoxTotal,ultraOrthodoxKid,ultraOrthodoxAdult,ultraOrthodoxOld
2009,5266500,1523700,3076700,666100,1535600,739500,736500,59600,750000,441600,292600,15800
2010,5309720,1533980,3086860,688860,1575620,751320,761760,62540,785920,462040,306360,17500
2011,5352940,1542204,3094988,707068,1607636,760776,781968,64892,814656,478392,317368,18860
2012,5396160,1548783,3101490,721634,1633249,768341,798134,66774,837645,491474,326174,19948
2013,5439380,1554047,3106692,733288,1653739,774393,811068,68279,856036,501939,333220,20818
2014,5482600,1575100,3127500,779900,1735700,798600,862800,74300,929600,543800,361400,24300
2015,5519120,1579340,3133260,806440,1780060,810360,890560,79140,974060,570360,377060,26560
2016,5555640,1582732,3137868,827672,1815548,819768,912768,83012,1009628,591608,389588,28368
2017,5592160,1585446,3141554,844658,1843938,827294,930534,86110,1038082,608606,399610,29814
2018,5628680,1587616,3144504,858246,1866651,833316,944748,88588,1060846,622205,407628,30972
2019,5665200,1596300,3156300,912600,1957500,857400,1001600,98500,1151900,676600,439700,35600
2020,5693920,1591200,3168220,934500,2007000,871140,1030740,105120,1206940,707460,460640,38840
2021,5722640,1587120,3177756,952020,2046600,882132,1054052,110416,1250972,732148,477392,41432
2022,5751360,1583856,3185385,966036,2078280,890926,1072702,114653,1286198,751898,490794,43506
2023,5780080,1581245,3191488,977249,2103624,897960,1087621,118042,1314378,767699,501515,45164
2024,5808800,1570800,3215900,1022100,2205000,926100,1147300,131600,1427100,830900,544400,51800
2025,5830980,1549740,3241380,1039880,2258540,947120,1170280,141140,1493860,871760,566760,55360
2026,5853160,1532892,3261764,1054104,2301372,963936,1188664,148772,1547268,904448,584648,58208
2027,5875340,1519414,3278071,1065483,2335638,977389,1203371,154878,1589994,930598,598958,60486
2028,5897520,1508631,3291117,1074587,2363050,988151,1215137,159762,1624176,951519,610407,62309
2029,5919700,1465500,3343300,1111000,2472700,1031200,1262200,179300,1760900,1035200,656200,69600
2030,5935860,1449200,3360320,1126420,2529560,1050680,1288280,190580,1840880,1080320,687920,72720
2031,5952020,1436160,3373936,1138756,2575048,1066264,1309144,199604,1904864,1116416,713296,75216
2032,5968180,1425728,3384829,1148625,2611438,1078731,1325835,206823,1956051,1145293,733597,77213
2033,5984340,1417382,3393543,1156520,2640551,1088705,1339188,212599,1997001,1168394,749837,78810
2034,6000500,1384000,3428400,1188100,2757000,1128600,1392600,235700,2160800,1260800,814800,85200
2035,6013480,1373060,3429640,1210780,2817080,1147820,1420660,248500,2257820,1314800,853800,89220
2036,6026460,1364308,3430632,1228924,2865144,1163196,1443108,258740,2335436,1358000,885000,92436
2037,6039440,1357306,3431426,1243439,2903595,1175497,1461066,266932,2397529,1392560,909960,95009
2038,6052420,1351705,3432060,1255051,2934356,1185337,1475433,273486,2447203,1420208,929928,97067
2039,6065400,1329300,3434600,1301500,3057400,1224700,1532900,299700,2645900,1530800,1009800,105300
